7.419,115.187,-1.993,-0.585,-0.767,-0.262
6.251,113.653,-2.517,-0.632,-0.725,-0.275
4.988,112.204,-3.066,-0.645,-0.713,-0.277
3.699,110.78,-3.619,0.012,-1.0,0.005
4.919,11.938,-3.121,-0.05,0.999,-0.022
-0.906,129.163,-5.702,0.708,-0.648,0.28
0.614,127.77,-5.1,0.698,-0.648,0.305
2.114,126.379,-4.445,0.685,-0.657,0.315
3.585,124.967,-3.768,0.666,-0.676,0.315
5.016,123.515,-3.092,0.643,-0.702,0.306
6.398,122.006,-2.434,0.617,-0.73,0.292
7.724,120.437,-1.807,0.602,-0.747,0.28
9.018,118.832,-1.205,0.727,-0.602,0.329
10.555,117.56,-0.51,0.876,0.223,0.427
12.409,118.032,0.394,0.791,0.432,0.434
14.107,118.961,1.326,0.784,0.394,0.48
15.79,119.807,2.357,0.804,0.264,0.533
17.515,120.374,3.502,-0.11,-0.992,-0.058
5.363,10.457,-2.922,-0.053,0.998,-0.023
-0.906,129.513,-5.702,0.705,-0.655,0.272
0.52,128.186,-5.152,0.699,-0.649,0.301
1.934,126.872,-4.542,0.689,-0.652,0.316
3.33,125.553,-3.902,0.677,-0.662,0.321
4.701,124.213,-3.253,0.665,-0.675,0.319
6.048,122.846,-2.607,0.66,-0.682,0.316
7.383,121.466,-1.967,0.688,-0.647,0.328
8.776,120.157,-1.303,0.819,-0.419,0.392
10.418,119.317,-0.516,0.893,0.052,0.447
12.215,119.422,0.383,0.854,0.243,0.461
13.943,119.914,1.315,0.846,0.193,0.497
15.654,120.304,2.32,0.846,0.012,0.534
17.364,120.327,3.399,-0.106,-0.993,-0.056
5.453,8.901,-2.883,-0.052,0.998,-0.023
-0.906,129.864,-5.702,0.701,-0.664,0.262
0.461,128.568,-5.19,0.698,-0.652,0.297
1.822,127.295,-4.611,0.692,-0.649,0.316
3.172,126.028,-3.994,0.684,-0.653,0.325
4.507,124.752,-3.36,0.678,-0.659,0.327
5.83,123.467,-2.722,0.68,-0.654,0.33
7.158,122.189,-2.078,0.715,-0.607,0.346
8.554,121.005,-1.404,0.818,-0.415,0.397
10.143,120.199,-0.632,0.893,-0.054,0.447
11.877,120.094,0.237,0.874,0.146,0.464
13.582,120.379,1.142,0.863,0.118,0.492
15.265,120.609,2.102,0.849,-0.092,0.521
16.917,120.429,3.116,-0.103,-0.993,-0.054
5.235,7.358,-2.978,-0.05,0.999,-0.022
-0.906,130.214,-5.702,0.696,-0.673,0.252
0.477,128.877,-5.2,0.695,-0.656,0.293
1.859,127.572,-4.617,0.692,-0.649,0.317
3.235,126.282,-3.987,0.687,-0.648,0.329
4.602,124.993,-3.334,0.686,-0.647,0.334
5.966,123.708,-2.669,0.698,-0.629,0.342
7.354,122.456,-1.99,0.749,-0.553,0.366
8.841,121.358,-1.263,0.848,-0.327,0.418
10.519,120.712,-0.435,0.891,-0.024,0.454
12.286,120.663,0.465,0.876,0.1,0.472
14.028,120.862,1.403,0.866,-0.008,0.5
15.745,120.845,2.396,0.819,-0.267,0.508
17.372,120.316,3.404,-0.109,-0.992,-0.057
4.829,5.86,-3.15,-0.046,0.999,-0.02
-0.906,130.564,-5.702,0.69,-0.683,0.24
0.47,129.202,-5.222,0.693,-0.661,0.288
1.852,127.883,-4.647,0.692,-0.649,0.317
